141;Franco, Divaldo Pereira;Alvorada;Depois da vida;Dissertação;1
142;Simonetti, Richard;São João;Quem tem medo da morte;Dissertação;4
143;Vieira, Waldo;C.E. Cristão;Técnica de viver;Meditação;2
144;Vieira, Waldo;ID;Seareiro de volta;Dissertação;2
145;Caligaris, Rodolfo;Fed Esp brasileira;A vida em família;Dissertação;2
146;Franco, Divaldo Pereira;Alvorada;A luz do espiritismo;Dissertação;1
147;Miranda, Dirce Moraes;E.C.E;Cruz de redenção;Dissertação;1
148;Simonetti, Richard;São João;A constituição divina;Dissertação;2
149;Xavier, Francisco C.;FEB;Luz no lar;Dissertação;2
150;Xavier, Francisco C.;FEB;Os mensageiros;Vida no além;2
151;Xavier, Francisco C.;Lake;Cartas de uma morta;Dissertação;1
152;Xavier, Francisco C.;GEEM;Mais luz;Dissertação;3
153;Franco, Divaldo Pereira;FEB;Temas da vida e da morte;Dissertação;2
154;Xavier, Francisco C.;FEB;Encontro marcado;Dissertação;2
155;Xavier, Francisco C.;Ed. S/a;Instrumento do tempo;Dissertação;2
156;Santos, José dos Santos Junior;;Mensagem de além tumulo;Dissertação;1
157;Xavier, Francisco C.;O Clarim;Mãe;Dissertação;1
158;Xavier, Francisco C.;FEB;Roteiro;Dissertação;3
159;Franco, Divaldo Pereira;Alvorada;Sementeira da fraternidade;Dissertação;1
160;Franco, Divaldo Pereira;Alvorada;Depoimentos vivos;Dissertação;3
161;Formiga, Eurícledes;Inst. Dif. Espirita;Centelhas da vida;Dissertação;1
162;Franco, Divaldo Pereira;Alvorada;Rumos libertadores;Dissertação;1
163;Franco, Divaldo Pereira;Alvorada;Legado Kardequiano;Dissertação;2
164;Xavier, Francisco C.;FEB;Boa nova;Evangélico;1
165;Pereira, Yvonne A.;CELD;Cânticos do coração (VI e VII;Dissertação;3
166;Franco, Divaldo Pereira;IDE;Florilégios espirituais;Dissertação;3
167;Franco, Divaldo Pereira;Alvorada;Espírito e vida;Dissertação;3
